"max_milestone","total","cumulative","conversion"
1,65,611,0
2,33,546,0.893617021276596
3,17,513,0.93956043956044
4,24,496,0.966861598440546
5,25,472,0.951612903225806
6,30,447,0.947033898305085
7,43,417,0.932885906040268
8,48,374,0.896882494004796
9,44,326,0.871657754010695
10,26,282,0.865030674846626
11,29,256,0.907801418439716
12,16,227,0.88671875
13,27,211,0.929515418502203
14,14,184,0.872037914691943
15,8,170,0.923913043478261
16,3,162,0.952941176470588
17,3,159,0.981481481481482
18,10,156,0.981132075471698
19,12,146,0.935897435897436
20,18,134,0.917808219178082
21,16,116,0.865671641791045
22,10,100,0.862068965517241
23,9,90,0.9
24,6,81,0.9
25,3,75,0.925925925925926
26,4,72,0.96
27,7,68,0.944444444444444
28,7,61,0.897058823529412
29,4,54,0.885245901639344
30,7,50,0.925925925925926
31,2,43,0.86
32,3,41,0.953488372093023
33,4,38,0.926829268292683
34,1,34,0.894736842105263
35,6,33,0.970588235294118
36,1,27,0.818181818181818
37,4,26,0.962962962962963
39,2,22,0.846153846153846
40,3,20,0.909090909090909
41,6,17,0.85
43,2,11,0.647058823529412
44,1,9,0.818181818181818
45,1,8,0.888888888888889
50,2,7,0.875
52,1,5,0.714285714285714
53,1,4,0.8
55,2,3,0.75
61,1,1,0.333333333333333
